Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
5591;Renens (VD);14650;20881;7062.4
5592;Romanel-sur-Lausanne;1492;3477;1109.6
5601;Chexbres;812;2231;1033
5604;Forel (Lavaux);1068;2112;114
5606;Lutry;3182;10698;1242.2
5607;Puidoux;2284;2919;126.4
5609;Rivaz;87;330;1162.1
5610;Saint-Saphorin (Lavaux);80;394;447.1
5611;Savigny;1450;3367;208.1
5613;Bourg-en-Lavaux;1794;5367;556.9
5621;Aclens;1609;518;136.2
5622;Bremblens;341;607;198.6
5623;Buchillon;116;674;322.5
5624;Bussigny;5872;10238;2004.8
5627;Chavannes-près-Renens;3684;8740;5096.4
5628;Chigny;54;405;455.2
5629;Clarmont;50;211;197.1
5631;Denens;128;732;225.5
5632;Denges;790;1739;1014.7
5633;Echandens;1632;2777;708.5
5634;Echichens;886;3141;235.8
5635;Ecublens (VD);16493;13193;2296.2
5636;Etoy;3040;2917;593.1
5637;Lavigny;871;1027;253.4
5638;Lonay;1891;2749;721
5639;Lully (VD);210;827;405.4
5640;Lussy-sur-Morges;171;738;305.9
5642;Morges;11271;16866;4160.5
5643;Préverenges;1635;5205;2833.5
5645;Romanel-sur-Morges;522;464;273.1
5646;Saint-Prex;3022;5860;1058.8
5648;Saint-Sulpice (VD);1641;4931;2685.2
5649;Tolochenaz;2526;1880;1197.5
5650;Vaux-sur-Morges;81;196;92.4
5651;Villars-Sainte-Croix;1342;959;585.4
5652;Villars-sous-Yens;82;625;198.7
5653;Vufflens-le-Château;180;894;403.7
5654;Vullierens;155;560;79.5
5655;Yens;411;1497;155.4
5656;Hautemorges;1198;4169;124.3
5661;Boulens;67;369;108.2
5663;Bussy-sur-Moudon;39;237;69.6
5665;Chavannes-sur-Moudon;130;219;43.4
5669;Curtilles;63;296;60.4
5671;Dompierre (VD);53;246;75.4
5673;Hermenches;59;368;79.9
5674;Lovatens;39;146;40.9
5675;Lucens;1073;4351;222.8
5678;Moudon;2844;6106;389.8
5680;Ogens;87;320;89.1
5683;Prévonloup;35;215;111.6
5684;Rossenges;13;92;79.2
5688;Syens;33;160;61.7
5690;Villars-le-Comte;32;133;28.6
5692;Vucherens;181;621;189
5693;Montanaire;758;2765;82.9
5701;Arnex-sur-Nyon;27;230;115.8
5702;Arzier-Le Muids;387;2950;56.2
5703;Bassins;228;1477;70.3
5704;Begnins;432;1945;401.7
5705;Bogis-Bossey;83;894;348.6
5706;Borex;112;1161;588.3
5707;Chavannes-de-Bogis;992;1332;468.9
5708;Chavannes-des-Bois;64;997;470.4
5709;Chéserex;206;1253;118.3
5710;Coinsins;202;507;172
5711;Commugny;276;2990;460
5712;Coppet;861;3250;1773
5713;Crans (VD);311;2383;543.3
5714;Crassier;389;1225;580.2
5715;Duillier;371;1148;279.3
5716;Eysins;1779;1726;736.4
5717;Founex;971;3847;810.5
5718;Genolier;994;2001;410.1
5719;Gingins;292;1269;99.4
5720;Givrins;175;1011;261.7
5721;Gland;7262;13298;1585.9
5722;Grens;114;400;159.2
5723;Mies;849;2202;616.8
5724;Nyon;16773;22135;3161.3
5725;Prangins;1880;4067;676.4
5726;La Rippe;254;1162;68.7
5727;Saint-Cergue;414;2744;110.2
5728;Signy-Avenex;653;588;303.1
5729;Tannay;166;1632;921.9
5730;Trélex;211;1443;247.7
5731;Le Vaud;229;1385;435.8
5732;Vich;529;1162;759.9
5741;L'Abergement;37;256;44.1
5742;Agiez;68;373;68.7
5743;Arnex-sur-Orbe;178;665;83.5
5744;Ballaigues;967;1173;125.6
5745;Baulmes;353;1128;47.8
5746;Bavois;238;978;107
5747;Bofflens;50;206;49.8
5748;Bretonnières;47;266;48.3
5749;Chavornay;1716;5358;271.6
5750;Les Clées;33;182;26.6
5752;Croy;105;390;87.8
5754;Juriens;62;348;36.1
5755;Lignerolle;94;408;41
5756;Montcherand;100;500;166.7
5757;Orbe;4740;7548;590.4
5758;La Praz;29;183;34.2
5759;Premier;53;233;36
5760;Rances;95;512;51.9
5761;Romainmôtier-Envy;176;551;75.5
5762;Sergey;27;141;98
5763;Valeyres-sous-Rances;164;613;96.1
5764;Vallorbe;1494;3907;166.7
5765;Vaulion;155;492;38.3
5766;Vuiteboeuf;248;593;115.3
5785;Corcelles-le-Jorat;75;490;56.8
5790;Maracon;94;547;121.5
5792;Montpreveyres;83;662;157
5798;Ropraz;168;530;111.1
5799;Servion;638;2107;330.9
5803;Vulliens;91;630;93.6
5804;Jorat-Menthue;324;1602;90.5
5805;Oron;2395;6099;230.3
5806;Jorat-Mézières;838;3093;267.1
5812;Champtauroz;36;169;47.5
5813;Chevroux;114;507;144.4
5816;Corcelles-près-Payerne;759;2715;221
5817;Grandcour;215;993;94.6
5819;Henniez;289;402;149.8
5821;Missy;83;365;120.7
5822;Payerne;7029;10216;415.6
5827;Trey;80;321;80.1
5828;Treytorrens (Payerne);24;110;36.7
5830;Villarzel;118;499;62
5831;Valbroye;1289;3349;100.4
5841;Château-d'Oex;1712;3539;30.7
5842;Rossinière;148;532;22.9
5843;Rougemont;370;861;17.8
5851;Allaman;425;431;170.7
5852;Bursinel;94;515;273.3
5853;Bursins;429;775;229.1
5854;Burtigny;103;415;70.8
5855;Dully;104;633;382.8
5856;Essertines-sur-Rolle;97;754;105.7
5857;Gilly;347;1435;184.5
5858;Luins;184;629;234.5
5859;Mont-sur-Rolle;539;2750;690.4
5860;Perroy;450;1515;528.9
5861;Rolle;4284;6289;2310
5862;Tartegnin;97;241;218.3
5863;Vinzel;102;369;353.2
5871;L'Abbaye;733;1516;46.2
5872;Le Chenit;6169;4565;46.3
5873;Le Lieu;666;882;27.3
5882;Chardonne;748;3072;300.8
5883;Corseaux;417;2326;2163.6
5884;Corsier-sur-Vevey;1744;3392;508
5885;Jongny;227;1804;777.2
5886;Montreux;11987;25949;779.7
5889;La Tour-de-Peilz;3719;12213;3690.5
5890;Vevey;13283;19683;8334.2
5891;Veytaux;218;948;140.6
5892;Blonay - Saint-Légier;4373;11909;374.9
5902;Belmont-sur-Yverdon;71;415;61.1
5903;Bioley-Magnoux;47;234;53.4
5904;Chamblon;234;560;195.8
5905;Champvent;334;715;77.3
5907;Chavannes-le-Chêne;46;325;80.8
5908;Chêne-Pâquier;46;150;69.1
5909;Cheseaux-Noréaz;287;726;124.6
5910;Cronay;77;403;60.2
5911;Cuarny;59;245;50.4
5912;Démoret;72;164;36.8
5913;Donneloye;146;891;92.3
5914;Ependes (VD);85;382;81
5919;Mathod;132;654;98.5
5921;Molondin;111;239;45.7
5922;Montagny-près-Yverdon;1985;778;210.3
5923;Oppens;236;201;56.4
5924;Orges;119;367;84.7
5925;Orzens;57;201;47.7
5926;Pomy;209;838;144.1
5928;Rovray;42;204;62.5
5929;Suchy;129;655;98.2
5930;Suscévaz;32;215;49.4
5931;Treycovagnes;81;488;234.3
5932;Ursins;27;228;70.5
5933;Valeyres-sous-Montagny;128;696;315.5
5934;Valeyres-sous-Ursins;44;247;84.3
5935;Villars-Epeney;18;94;113.6
5937;Vugelles-La Mothe;26;140;44.7
5938;Yverdon-les-Bains;20219;29662;2214
5939;Yvonand;1042;3507;260.7
6601;Aire-la-Ville;465;1136;402.8
6602;Anières;483;2441;623.3
6603;Avully;214;1720;380.1
6604;Avusy;222;1368;269.1
6605;Bardonnex;923;2491;477.3
6606;Bellevue;1318;3548;791.6
6607;Bernex;2956;10231;790.9
6608;Carouge (GE);25824;22305;8504.2
6609;Cartigny;245;1013;219.7
6610;Céligny;97;823;169.6
6611;Chancy;156;1688;316.9
6612;Chêne-Bougeries;4987;13109;3048.6
6613;Chêne-Bourg;2971;8884;6977
6614;Choulex;159;1191;301.5
6615;Collex-Bossy;238;1704;245.8
6616;Collonge-Bellerive;4657;8540;1375.4
6617;Cologny;2208;5913;1594
6618;Confignon;1260;4562;1659.1
6619;Corsier (GE);337;2296;819.6
6620;Dardagny;723;1849;215.7
6621;Genève;199692;203401;12821.1
6622;Genthod;820;2875;1029.5
6623;Le Grand-Saconnex;13593;12496;2839
6624;Gy;117;474;147.8
6625;Hermance;201;1144;734.9
6626;Jussy;384;1208;108.6
6627;Laconnex;111;684;186.4
6628;Lancy;23287;34314;7022.5
6629;Meinier;902;2086;304.8
6630;Meyrin;30225;26414;2636.6
6631;Onex;4754;18821;6713.8
6632;Perly-Certoux;1472;3120;1221.5
6633;Plan-les-Ouates;15771;11751;1821.5
6634;Pregny-Chambésy;4013;3910;1170.2
6635;Presinge;206;702;147.5
6636;Puplinge;1185;2516;938.9
6637;Russin;149;527;107.3
6638;Satigny;9790;4357;226.8
6639;Soral;177;975;333.1
6640;Thônex;6168;14815;3805
6641;Troinex;551;2591;739.4
6642;Vandoeuvres;548;2847;621.7
6643;Vernier;21371;35491;4544
6644;Versoix;4210;13280;1261.3
6645;Veyrier;2580;11837;1819.2
74001;Abondance;598;1536;25.3
74002;Alby-sur-Chéran;2039;2643;406.3
74003;Alex;473;1125;65.4
74004;Allèves;38;404;46.3
74005;Allinges;1044;4938;323.3
74006;Allonzier-la-Caille;1676;2170;226.2
74007;Amancy;857;2786;322.4
74008;Ambilly;823;6269;4932.8
74009;Andilly;99;1011;163.9
74010;Annecy;74428;131272;1968
74012;Annemasse;13237;37595;7614.1
74013;Anthy-sur-Léman;1311;2370;503.7
74014;Arâches-la-Frasse;1224;1777;47.7
74015;Arbusigny;158;1136;93
74016;Archamps;1700;2458;237.8
74018;Arenthon;401;1998;167
74019;Argonay;3731;3713;697.7
74020;Armoy;90;1501;291.1
74021;Arthaz-Pont-Notre-Dame;120;1670;278
74024;Ayse;636;2325;217
74025;Ballaison;222;1475;111.1
74026;La Balme-de-Sillingy;1047;5215;313
74027;La Balme-de-Thuy;98;457;25.4
74029;Bassy;22;398;53.8
74030;La Baume;34;322;19
74031;Beaumont;378;3081;314.5
74032;Bellevaux;331;1392;27.2
74033;Bernex;360;1450;64
74034;Le Biot;203;636;48.5
74035;Bloye;67;565;131.6
74036;Bluffy;57;398;103.5
74037;Boëge;503;1938;118.2
74038;Bogève;160;1160;159.7
74040;Bonne;800;3268;381
74041;Bonnevaux;30;282;36.2
74042;Bonneville;6760;13320;475
74043;Bons-en-Chablais;1800;6120;309.4
74044;Bossey;121;947;252.3
74045;Le Bouchet-Mont-Charvin;29;249;13.4
74046;Boussy;62;511;97.9
74048;Brenthonne;155;1116;132.3
74049;Brizon;50;465;45.5
74050;Burdignin;55;688;69.2
74051;Cercier;134;729;63.3
74052;Cernex;108;1163;89.6
74053;Cervens;218;1259;196.2
74054;Chainaz-les-Frasses;69;708;132.1
74055;Challonges;69;589;71.9
74056;Chamonix-Mont-Blanc;6668;8673;74.2
74057;Champanges;164;1181;311.1
74058;La Chapelle-d'Abondance;439;873;23.5
74059;La Chapelle-Rambaud;20;251;59.5
74060;La Chapelle-Saint-Maurice;15;118;17.7
74061;Chapeiry;81;982;167.5
74062;Charvonnex;309;1545;323.6
74063;Châtel;1052;1168;37.1
74064;Châtillon-sur-Cluses;119;1215;132.2
74065;Chaumont;90;541;42.6
74066;Chavannaz;10;240;77
74067;Chavanod;2688;3024;218
74068;Chêne-en-Semine;310;526;53.8
74069;Chênex;101;790;148.5
74070;Chens-sur-Léman;227;3005;270.6
74071;Chessenaz;20;241;44.4
74072;Chevaline;56;182;13.3
74073;Chevenoz;98;701;65.7
74074;Chevrier;58;717;126.5
74075;Chilly;139;1646;84.9
74076;Choisy;192;1704;102.7
74077;Clarafond-Arcine;81;1053;62
74078;Clermont;67;449;60.9
74079;Les Clefs;70;704;37.6
74080;La Clusaz;1689;1663;41.9
74081;Cluses;8682;17366;1640.9
74082;Collonges-sous-Salève;981;3876;639.3
74083;Combloux;894;2094;121.3
74085;Les Contamines-Montjoie;628;1083;25.1
74086;Contamine-Sarzin;56;737;108
74087;Contamine-sur-Arve;2431;2374;334.5
74088;Copponex;188;1287;137.7
74089;Cordon;223;984;43.7
74090;Cornier;203;1468;210.6
74091;La Côte-d'Arbroz;54;355;29.2
74094;Cranves-Sales;1115;7476;527.7
74095;Crempigny-Bonneguête;35;325;55.2
74096;Cruseilles;1300;5058;185.9
74097;Cusy;367;1855;106.1
74098;Cuvat;74;1638;341.3
74099;Demi-Quartier;276;803;90.6
74100;Desingy;102;759;40.4
74101;Dingy-en-Vuache;37;787;105.3
74102;Dingy-Saint-Clair;258;1459;42.6
74103;Domancy;630;2203;311.9
74104;Doussard;693;3688;180
74105;Douvaine;1965;6788;639.3
74106;Draillant;58;875;85
74107;Droisy;29;153;33.2
74108;Duingt;164;1069;237.8
74109;Éloise;101;935;104
74111;Entrevernes;11;197;24.5
74112;Epagny Metz-Tessy;9255;8642;701
74114;Essert-Romand;94;520;75.7
74116;Etaux;473;2109;148.6
74117;Étercy;76;976;204.4
74118;Étrembières;826;2624;482.3
74119;Évian-les-Bains;3916;9224;2147.8
74121;Excenevex;179;1326;192
74122;Faucigny;122;655;131.2
74123;Faverges-Seythenex;3638;7540;127.9
74124;Feigères;192;1842;237.1
74126;Fessy;110;1071;123.1
74127;Féternes;174;1520;104.2
74128;Fillinges;1122;3550;303.1
74129;La Forclaz;28;225;55.9
74130;Franclens;60;549;101.1
74131;Frangy;765;2136;211.5
74133;Gaillard;3115;11054;2531.1
74134;Les Gets;1200;1227;40.8
74135;Giez;78;569;43.8
74136;Le Grand-Bornand;1398;2054;33.7
74137;Groisy;911;4044;186.1
74138;Gruffy;178;1497;104.1
74139;Habère-Lullin;106;1091;119.9
74140;Habère-Poche;165;1484;123.8
74141;Hauteville-sur-Fier;120;1074;211
74142;Héry-sur-Alby;163;973;131.9
74143;Les Houches;1260;3529;77.9
74144;Jonzier-Épagny;42;889;116.6
74145;Juvigny;363;634;232.1
74146;Larringes;252;1589;196.7
74147;Lathuile;148;1076;119.6
74148;Leschaux;46;309;23.1
74150;Loisin;267;1728;214.6
74151;Lornay;47;585;59.4
74152;Lovagny;155;1297;229.2
74153;Lucinges;211;1709;208.1
74154;Lugrin;395;2536;190.1
74155;Lullin;155;799;60.4
74156;Lully;74;736;144.7
74157;Lyaud;136;1766;191.5
74158;Machilly;197;1139;191.3
74159;Magland;1374;3242;80.6
74160;Manigod;376;1006;22.7
74161;Marcellaz-Albanais;195;1985;134.6
74162;Marcellaz;125;1072;253.7
74163;Margencel;929;2261;304.7
74164;Marignier;2868;6432;320.5
74165;Marigny-Saint-Marcel;433;701;95
74166;Marin;397;1921;341.5
74167;Val de Chaise;209;1401;74.3
74168;Marlioz;157;1052;129.6
74169;Marnaz;3113;5920;646
74170;Massingy;147;858;69.9
74171;Massongy;128;1693;164.7
74172;Maxilly-sur-Léman;243;1519;370.5
74173;Megève;3543;2927;67.1
74174;Mégevette;59;606;27.4
74175;Meillerie;15;301;79.8
74176;Menthon-Saint-Bernard;375;1889;418
74177;Menthonnex-en-Bornes;124;1109;130.1
74178;Menthonnex-sous-Clermont;94;785;74.9
74179;Mésigny;65;802;119.2
74180;Messery;272;2373;246.3
74183;Mieussy;416;2521;55.9
74184;Minzier;121;1058;119.6
74185;Monnetier-Mornex;413;2333;204.6
74186;Montagny-les-Lanches;120;812;181.3
74188;Montriond;340;956;38.4
74189;Mont-Saxonnex;205;1637;62.8
74190;Morillon;306;694;46.1
74191;Morzine;2920;2661;60.3
74192;Moye;53;963;40.7
74193;La Muraz;95;1055;73.5
74194;Mûres;46;882;170.9
74195;Musièges;234;421;140.6
74196;Nancy-sur-Cluses;41;466;33.1
74197;Nangy;265;1708;378.2
74198;Nâves-Parmelan;109;1001;185.9
74199;Nernier;48;424;225.8
74200;Neuvecelle;296;3224;798
74201;Neydens;751;2227;323.4
74202;Nonglard;56;735;177.2
74203;Novel;18;53;5.2
74205;Onnion;138;1281;66.8
74206;Orcier;266;1073;113.6
74208;Passy;4394;10852;138.3
74209;Peillonnex;236;1363;213
74210;Perrignier;803;1882;239.2
74211;Pers-Jussy;437;3207;169.7
74212;Glières-Val-de-Borne;314;1825;25.5
74213;Poisy;2351;9032;774.3
74215;Praz-sur-Arly;503;1289;56
74216;Présilly;93;1082;122.7
74218;Publier;3253;7793;857.2
74219;Quintal;116;1252;136.6
74220;Reignier-Ésery;1758;8112;325.8
74221;Le Reposoir;82;559;14.8
74222;Reyvroz;81;498;50.9
74223;La Rivière-Enverse;45;490;60.5
74224;La Roche-sur-Foron;4684;11239;627.8
74225;Rumilly;8037;16082;947.2
74226;Saint-André-de-Boëge;104;594;47.1
74228;Saint-Blaise;37;378;145.9
74229;Saint-Cergues;698;3779;295.9
74231;Saint-Eusèbe;51;643;91.4
74232;Saint-Eustache;58;486;45.9
74233;Saint-Félix;626;2438;368.3
74234;Saint-Ferréol;223;882;53
74235;Saint-Germain-sur-Rhône;27;644;81.4
74236;Saint-Gervais-les-Bains;2086;5678;88
74237;Saint-Gingolph;100;907;122.1
74238;Saint-Jean-d'Aulps;726;1543;39.7
74239;Saint-Jean-de-Sixt;566;1500;121.7
74240;Saint-Jean-de-Tholome;110;1157;89.5
74241;Saint-Jeoire;780;3423;150.8
74242;Saint-Jorioz;1744;6344;297.7
74243;Saint-Julien-en-Genevois;4695;15925;1495.8
74244;Saint-Laurent;48;836;76.7
74249;Saint-Paul-en-Chablais;536;2598;177.2
74250;Saint-Pierre-en-Faucigny;2875;7848;509.1
74252;Saint-Sigismond;82;649;79.3
74253;Saint-Sixt;65;994;193.3
74254;Saint-Sylvestre;74;598;112.4
74255;Sales;304;2267;240
74256;Sallanches;8183;17041;260.1
74257;Sallenôves;140;847;225.3
74258;Samoëns;1455;2193;23.5
74259;Le Sappey;30;463;32.6
74260;Savigny;133;1029;97
74261;Saxel;28;509;88.8
74262;Scientrier;419;1216;163.9
74263;Sciez;1138;6317;310.3
74264;Scionzier;3544;9074;853
74265;Serraval;138;745;37.1
74266;Servoz;180;1125;80.3
74267;Sevrier;994;4324;328.5
74269;Seyssel;674;2327;138.9
74271;Seytroux;69;535;28.9
74272;Sillingy;1775;5652;367.5
74273;Sixt-Fer-à-Cheval;250;728;6.2
74275;Talloires-Montmin;404;1913;52.1
74276;Taninges;1233;3501;81.2
74278;Thyez;2828;6344;650.3
74279;Thollon-les-Mémises;229;808;59.3
74280;Thônes;3495;6654;126.1
74281;Thonon-les-Bains;15821;37689;2284.2
74282;Fillière;1659;9812;80
74283;Thusy;81;1166;107.7
74284;La Tour;488;1353;170.8
74285;Usinens;91;424;55.3
74286;Vacheresse;155;912;28.5
74287;Vailly;91;907;48.4
74288;Valleiry;634;5090;707.3
74289;Vallières-sur-Fier;565;2739;136.8
74290;Vallorcine;176;432;9.2
74291;Vanzy;50;350;60.9
74292;Vaulx;155;1080;93.8
74293;Veigy-Foncenex;542;4035;308.3
74294;Verchaix;221;794;49.1
74295;La Vernaz;25;288;39.3
74296;Vers;92;962;160.2
74297;Versonnex;47;678;153.6
74298;Vétraz-Monthoux;2246;10412;1388.7
74299;Veyrier-du-Lac;503;2308;279.8
74301;Villard;159;960;128.6
74302;Les Villards-sur-Thônes;163;1121;83
74303;Villaz;1033;3473;227.1
74304;Ville-en-Sallaz;59;918;278
74305;Ville-la-Grand;4554;9196;2042.1
74306;Villy-le-Bouveret;15;637;178.5
74307;Villy-le-Pelloux;236;1009;335.4
74308;Vinzier;340;883;133.8
74309;Viry;702;5625;215.4
74310;Viuz-la-Chiésaz;122;1302;93.7
74311;Viuz-en-Sallaz;1012;4668;219.2
74312;Vougy;955;1622;395.7
74313;Vovray-en-Bornes;51;556;84.5
74314;Vulbens;271;1698;131.7
74315;Yvoire;253;1052;342.3
